NC_013715.1 Rothia mucilaginosa DY-18, complete genome
NC_017149.1 Acetobacter pasteurianus IFO 3283-32 plasmid pAPA32-020, complete sequence
NC_010729.1 Porphyromonas gingivalis ATCC 33277, complete genome
NC_007712.1 Sodalis glossinidius str. 'morsitans', complete genome
NC_007713.1 Sodalis glossinidius str. 'morsitans' plasmid pSG1, complete sequence
NC_007714.1 Sodalis glossinidius str. 'morsitans' plasmid pSG2, complete sequence
NC_007715.1 Sodalis glossinidius str. 'morsitans' plasmid pSG3, complete sequence
NC_003028.3 Streptococcus pneumoniae TIGR4, complete sequence
NC_002663.1 Pasteurella multocida subsp. multocida str. Pm70, complete sequence
NC_005813.1 Yersinia pestis biovar Microtus str. 91001 plasmid pCD1, complete sequence
NC_005814.1 Yersinia pestis biovar Microtus str. 91001 plasmid pCRY, complete sequence
NC_005815.1 Yersinia pestis biovar Microtus str. 91001 plasmid pMT1, complete sequence
NC_005816.1 Yersinia pestis biovar Microtus str. 91001 plasmid pPCP1, complete sequence
NC_004721.2 Bacillus cereus ATCC 14579 plasmid pBClin15, complete sequence
NC_004722.1 Bacillus cereus ATCC 14579, complete sequence
NC_006576.1 Synechococcus elongatus PCC 6301, complete genome
NC_008791.1 Yersinia enterocolitica subsp. enterocolitica 8081 plasmid pYVe8081, complete sequence
NC_008800.1 Yersinia enterocolitica subsp. enterocolitica 8081, complete genome
NC_004310.3 Brucella suis 1330 chromosome I, complete sequence
NC_004311.2 Brucella suis 1330 chromosome II, complete sequence
NC_002745.2 Staphylococcus aureus subsp. aureus N315, complete genome
NC_003140.1 Staphylococcus aureus subsp. aureus N315 plasmid pN315, complete sequence
NC_006085.1 Cutibacterium acnes KPA171202, complete sequence
NC_005835.1 Thermus thermophilus HB27, complete sequence
NC_005838.1 Thermus thermophilus HB27 plasmid pTT27, complete sequence
NC_009004.1 Lactococcus lactis subsp. cremoris MG1363, complete genome
NC_002971.3 Coxiella burnetii RSA 493 chromosome, complete genome
NC_004704.1 Coxiella burnetii RSA 493 plasmid pQpH1, complete sequence
NC_002967.9 Treponema denticola ATCC 35405, complete sequence
NC_011000.1 Burkholderia cenocepacia J2315 chromosome 1, complete sequence
NC_011001.1 Burkholderia cenocepacia J2315 chromosome 2, complete sequence
NC_011002.1 Burkholderia cenocepacia J2315 chromosome 3, complete sequence
NC_011003.1 Burkholderia cenocepacia J2315 plasmid pBCJ2315, complete sequence
NC_006322.1 Bacillus licheniformis DSM 13 = ATCC 14580, complete sequence
NC_003295.1 Ralstonia solanacearum GMI1000, complete genome
NC_003296.1 Ralstonia solanacearum GMI1000, complete genome
NC_002516.2 Pseudomonas aeruginosa PAO1, complete genome
NC_004116.1 Streptococcus agalactiae 2603V/R, complete sequence
NC_002942.5 Legionella pneumophila subsp. pneumophila str. Philadelphia 1, complete sequence
NC_003155.5 Streptomyces avermitilis MA-4680 = NBRC 14893, complete genome
NC_004719.1 Streptomyces avermitilis MA-4680 = NBRC 14893 plasmid SAP1, complete sequence
NC_012795.1 Desulfovibrio magneticus RS-1 plasmid pDMC2, complete sequence
NC_012796.1 Desulfovibrio magneticus RS-1, complete genome
NC_012797.1 Desulfovibrio magneticus RS-1 plasmid pDMC1, complete sequence
NC_004193.1 Oceanobacillus iheyensis HTE831, complete genome
NC_006177.1 Symbiobacterium thermophilum IAM 14863, complete genome
NC_012207.1 Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172, complete genome
NC_012489.1 Gemmatimonas aurantiaca T-27, complete genome
NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete genome
NC_009662.1 Nitratiruptor sp. SB155-2, complete genome
NC_004917.1 Helicobacter hepaticus ATCC 51449, complete sequence
NC_003923.1 Staphylococcus aureus subsp. aureus MW2, complete genome
NC_002696.2 Caulobacter vibrioides CB15, complete sequence
NC_004070.1 Streptococcus pyogenes MGAS315, complete genome
NC_004572.3 Tropheryma whipplei str. Twist, complete sequence
NC_011561.1 Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 plasmid pCFPG2 DNA, complete sequence
NC_011562.1 Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 plasmid pCFPG3 DNA, complete sequence
NC_011563.1 Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 plasmid pCFPG4 DNA, complete sequence
NC_011564.1 Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 plasmid pCFPG1 DNA, complete sequence
NC_011565.1 Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 DNA, complete genome
NC_003317.1 Brucella melitensis bv. 1 str. 16M chromosome I, complete sequence
NC_003318.1 Brucella melitensis bv. 1 str. 16M chromosome II, complete sequence
NC_008378.1 Rhizobium leguminosarum bv. viciae 3841, complete genome
NC_008379.1 Rhizobium leguminosarum bv. viciae 3841 plasmid pRL9, complete sequence
NC_008380.1 Rhizobium leguminosarum bv. viciae 3841, complete genome
NC_008381.1 Rhizobium leguminosarum bv. viciae 3841 plasmid pRL10, complete sequence
NC_008382.1 Rhizobium leguminosarum bv. viciae 3841 plasmid pRL7, complete sequence
NC_008383.1 Rhizobium leguminosarum bv. viciae 3841 plasmid pRL8, complete sequence
NC_008384.1 Rhizobium leguminosarum bv. viciae 3841 plasmid pRL11, complete sequence
NC_004606.1 Streptococcus pyogenes SSI-1, complete genome
NC_001988.2 Clostridium acetobutylicum ATCC 824 plasmid pSOL1, complete sequence
NC_003030.1 Clostridium acetobutylicum ATCC 824, complete sequence
NC_002971.4 Coxiella burnetii RSA 493, complete genome
NC_004704.2 Coxiella burnetii RSA 493 plasmid pQpH1, complete sequence
NC_013791.2 Bacillus pseudofirmus OF4, complete sequence
NC_013792.1 Bacillus pseudofirmus OF4 plasmid pBpOF4-01, complete sequence
NC_013793.1 Bacillus pseudofirmus OF4 plasmid pBpOF4-02, complete sequence
NC_005957.1 [Bacillus thuringiensis] serovar konkukian str. 97-27, complete sequence
NC_006578.1 [Bacillus thuringiensis] serovar konkukian str. 97-27 plasmid pBT9727, complete sequence
NC_007622.1 Staphylococcus aureus RF122, complete genome
NC_004838.1 Yersinia pestis KIM10+ plasmid pMT-1, complete sequence
NC_005071.1 Prochlorococcus marinus str. MIT 9313, complete genome
NC_003909.8 Bacillus cereus ATCC 10987, complete sequence
NC_005707.1 Bacillus cereus ATCC 10987 plasmid pBc10987, complete sequence
NC_011294.1 Salmonella enterica subsp. enterica serovar Enteritidis str. P125109, complete genome
NC_004461.1 Staphylococcus epidermidis ATCC 12228, complete sequence
NC_005003.1 Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-06, complete sequence
NC_005004.1 Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-05, complete sequence
NC_005005.1 Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-04, complete sequence
NC_005006.1 Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-03, complete sequence
NC_005007.1 Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-02, complete sequence
NC_005008.1 Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-01, complete sequence
NC_007907.1 Desulfitobacterium hafniense Y51, complete genome
NC_005072.1 Prochlorococcus marinus subsp. pastoris str. CCMP1986, complete genome
NC_003425.1 Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis plasmid pWb1 DNA, complete sequence
NC_004344.2 Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis DNA, complete genome
NC_009937.1 Azorhizobium caulinodans ORS 571, complete genome
NC_006625.1 Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 plasmid pK2044, complete sequence
NC_012731.1 Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044, complete genome
NC_006582.1 Bacillus clausii KSM-K16, complete genome
NC_017130.1 Acetobacter pasteurianus IFO 3283-26 plasmid pAPA26-013, complete sequence
NC_017131.1 Acetobacter pasteurianus IFO 3283-26 plasmid pAPA26-020, complete sequence
NC_017132.1 Acetobacter pasteurianus IFO 3283-26 plasmid pAPA26-040, complete sequence
NC_017133.1 Acetobacter pasteurianus IFO 3283-26 plasmid pAPA26-060, complete sequence
NC_017146.1 Acetobacter pasteurianus IFO 3283-26, complete genome
NC_017147.1 Acetobacter pasteurianus IFO 3283-26 plasmid pAPA26-030, complete sequence
NC_017148.1 Acetobacter pasteurianus IFO 3283-26 plasmid pAPA26-050, complete sequence
NC_018415.1 Candidatus Carsonella ruddii CS isolate Thao2000, complete genome
NZ_CP029023.1 Candidatus Sulcia muelleri isolate SMTERNIG chromosome, complete genome
NZ_CP006873.1 Candidatus Walczuchella monophlebidarum isolate FNIIJ chromosome, complete genome
NZ_CP012411.1 Candidatus Carsonella ruddii strain YCCR, complete genome
NZ_AP013293.1 Candidatus Sulcia muelleri PSPU
NZ_CP029024.1 Candidatus Sulcia muelleri isolate SMTERVAC chromosome, complete genome
NZ_LM655252.1 Candidatus Evansia muelleri genome assembly CEM1.1, chromosome : I
NZ_CP029010.1 Candidatus Sulcia muelleri isolate SMCRYFAC chromosome, complete genome
NZ_CP012591.1 Candidatus Profftella armatura strain YCPA chromosome, complete genome
NZ_CP012592.1 Candidatus Profftella armatura strain YCPA plasmid unnamed, complete sequence
NZ_CP029014.1 Candidatus Sulcia muelleri isolate SMHYAMAC chromosome, complete genome
NC_018618.1 Candidatus Portiera aleyrodidarum BT-QVLC, complete sequence
NZ_CP016304.1 Candidatus Portiera aleyrodidarum MED (Bemisia tabaci) strain MEAM1 chromosome, complete genome
NZ_CP007563.1 Candidatus Portiera aleyrodidarum MED (Bemisia tabaci) strain BT-Q chromosome, complete genome
NZ_CP016223.1 Candidatus Sulcia muelleri strain NC chromosome, complete genome
NZ_CP029021.1 Candidatus Sulcia muelleri isolate SMAURJAP chromosome, complete genome
NC_018507.1 Candidatus Portiera aleyrodidarum BT-B-HRs, complete sequence
NZ_CP013211.1 Candidatus Nasuia deltocephalinicola strain PUNC, complete genome
NC_008513.1 Buchnera aphidicola BCc, complete genome
NC_011878.1 Buchnera aphidicola BCc plasmid pLeu-BCc, complete sequence
NZ_CP029022.1 Candidatus Sulcia muelleri isolate SMVAGTER chromosome, complete genome
NC_018676.1 Candidatus Portiera aleyrodidarum BT-QVLC, complete sequence
NZ_CP021172.1 Candidatus Sulcia muelleri strain ENCA chromosome, complete genome
NZ_CP029009.1 Candidatus Sulcia muelleri isolate SMCRYATR chromosome, complete genome
NZ_CP029026.1 Candidatus Sulcia muelleri isolate SMMEIKUR chromosome, complete genome
NC_017293.1 Candidatus Tremblaya princeps PCVAL, complete genome
NZ_CP029019.1 Candidatus Sulcia muelleri isolate SMPLAKAE chromosome, complete genome
NC_015662.1 Buchnera aphidicola (Cinara tujafilina), complete sequence
NZ_CP029012.1 Candidatus Sulcia muelleri isolate SMGRABIM chromosome, complete genome
NZ_CP016343.1 Candidatus Portiera aleyrodidarum strain China 1 chromosome, complete genome
NZ_CP029011.1 Candidatus Sulcia muelleri isolate SMEUTCHI chromosome, complete genome
NZ_CP029018.1 Candidatus Sulcia muelleri isolate SMTANJAP chromosome, complete genome
NC_021885.1 Candidatus Profftella armatura, complete sequence
NC_021886.1 Candidatus Profftella armatura plasmid unnamed, complete sequence
NZ_CP016327.1 Candidatus Portiera aleyrodidarum strain BT-Z1 chromosome, complete genome
NC_015736.1 Candidatus Tremblaya princeps PCIT, complete genome
NZ_CP029020.1 Candidatus Sulcia muelleri isolate SMAURBIH chromosome, complete genome
NC_020135.1 Candidatus Uzinura diaspidicola str. ASNER, complete sequence
NZ_CP029028.1 Candidatus Sulcia muelleri isolate SMMEIOSH chromosome, complete genome
NZ_CP013212.1 Candidatus Sulcia muelleri strain PUNC chromosome, complete genome
NC_018414.1 Candidatus Carsonella ruddii CE isolate Thao2000, complete genome
NZ_CP029015.1 Candidatus Sulcia muelleri isolate SMKOSYEZ chromosome, complete genome
NZ_CP029017.1 Candidatus Sulcia muelleri isolate SMMUDKUR chromosome, complete genome
NC_021919.1 Candidatus Nasuia deltocephalinicola str. NAS-ALF, complete genome
NC_021894.1 Candidatus Carsonella ruddii DC, complete sequence
NZ_CP029013.1 Candidatus Sulcia muelleri isolate SMGRANIG chromosome, complete genome
NC_018418.1 Candidatus Carsonella ruddii PC isolate NHV, complete genome
NZ_CP029016.1 Candidatus Sulcia muelleri isolate SMMOGMIN chromosome, complete genome
NC_018677.1 Candidatus Portiera aleyrodidarum BT-B-HRs, complete sequence
NC_022886.1 Helicobacter pylori BM012A, complete sequence
NC_017355.1 Helicobacter pylori v225d, complete genome
NC_017383.1 Helicobacter pylori v225d plasmid pHPv225d, complete sequence
NZ_CP012149.1 Campylobacter jejuni strain CJM1cam, complete genome
NC_013721.1 Gardnerella vaginalis 409-05, complete sequence
NC_017376.1 Helicobacter pylori SNT49, complete genome
NC_017380.1 Helicobacter pylori SNT49 plasmid pHPSNT, complete sequence
NZ_CP010473.1 Campylobacter jejuni strain CJ677CC534, complete genome
NC_014560.1 Helicobacter pylori SJM180, complete genome
NZ_CP012696.1 Campylobacter jejuni strain RM1285 chromosome, complete genome
NZ_CP025474.1 Helicobacter pylori strain H-137 chromosome, complete genome
NZ_CP019489.1 Bartonella sp. 1-1C chromosome, complete genome
NZ_AP014712.1 Helicobacter pylori strain ML3
NZ_AP014713.1 Helicobacter pylori strain ML3 plasmid ML3-PL, complete sequence
NZ_CP032473.1 Helicobacter pylori strain 476-A2-EK2 chromosome, complete genome
NZ_CP048756.1 Campylobacter jejuni strain ZS006 chromosome, complete genome
NZ_CP048757.1 Campylobacter jejuni strain ZS006 plasmid pCJ41K-01, complete sequence
NZ_CP048758.1 Campylobacter jejuni strain ZS006 plasmid pCJ6K-02, complete sequence
NZ_CP048759.1 Campylobacter jejuni strain ZS006 plasmid pCJ3K-03, complete sequence
NZ_CP048769.1 Campylobacter jejuni strain ZJB020 chromosome, complete genome
NZ_CP048770.1 Campylobacter jejuni strain ZJB020 plasmid pCJ4K-01, complete sequence
NZ_CP042374.1 Leuconostoc carnosum strain CBA3620 chromosome, complete genome
NZ_CP042375.1 Leuconostoc carnosum strain CBA3620 plasmid unnamed1, complete sequence
NZ_CP042376.1 Leuconostoc carnosum strain CBA3620 plasmid unnamed2, complete sequence
NZ_CP011015.1 Campylobacter coli strain FB1, complete genome
NZ_CP011016.1 Campylobacter coli strain FB1 plasmid pCC42, complete sequence
NZ_CP011017.1 Campylobacter coli strain FB1 plasmid pFB1TET, complete sequence
NZ_CP048763.1 Campylobacter jejuni strain ZH006 chromosome, complete genome
NZ_CP010505.1 Campylobacter jejuni strain CJ677CC052, complete genome
NZ_CP012905.1 Helicobacter pylori strain 7C chromosome, complete genome
NZ_CP012906.1 Helicobacter pylori strain 7C plasmid unnamed, complete sequence
NC_015913.1 Candidatus Arthromitus sp. SFB-mouse-Japan, complete genome
NZ_CP006686.1 Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1 chromosome, complete genome
NC_021216.2 Helicobacter pylori UM299, complete genome
NZ_CP007604.1 Helicobacter pylori strain BM013A, complete genome
NZ_CP012548.1 Campylobacter pinnipediorum subsp. pinnipediorum strain RM17262, complete genome
NZ_CP010484.1 Campylobacter jejuni strain CJ677CC034, complete genome
NZ_CP040618.1 Campylobacter sp. CFSAN093260 chromosome, complete genome
NZ_CP018788.1 Campylobacter sp. NCTC 13003, complete genome
NC_017740.1 Helicobacter pylori Shi169, complete genome
NZ_LR134511.1 Campylobacter jejuni subsp. jejuni strain NCTC10983 chromosome 1
NZ_CP043763.1 Campylobacter jejuni strain BfR-CA-14430 chromosome, complete genome
NZ_CP043764.1 Campylobacter jejuni strain BfR-CA-14430 plasmid pBfR-CA-14430, complete sequence
NZ_CP030929.1 Aurantimicrobium sp. MWH-Uga1 chromosome, complete genome
NZ_CP015430.1 [Haemophilus] ducreyi strain GHA2, complete genome
NC_022130.1 Helicobacter pylori SouthAfrica20, complete genome
NZ_CP012210.1 Campylobacter jejuni strain CJ515CC45 chromosome, complete genome
NZ_CP011484.1 Helicobacter pylori strain CC33C, complete genome
NZ_CP048767.1 Campylobacter jejuni strain ZJB021 chromosome, complete genome
NZ_CP048768.1 Campylobacter jejuni strain ZJB021 plasmid pCJ4K-02, complete sequence
NZ_CP022080.1 Campylobacter jejuni strain FDAARGOS_266 chromosome, complete genome
NZ_CP027242.1 Peptostreptococcaceae bacterium oral taxon 929 strain W2294 chromosome, complete genome
NZ_CP020045.1 Campylobacter jejuni subsp. jejuni strain ATCC 35925, complete genome
NZ_CP010459.1 Campylobacter jejuni strain CJ677CC047, complete genome
NZ_CP027404.1 Helicobacter pylori strain FDAARGOS_300 chromosome, complete genome
NZ_CP049888.1 Weissella sp. HDW19 chromosome, complete genome
NZ_CP010503.1 Campylobacter jejuni strain CJ677CC039, complete genome
NZ_CP010464.1 Campylobacter jejuni strain CJ677CC094, complete genome
NC_017367.1 Helicobacter pylori F57, complete genome
NZ_CP023448.1 Helicobacter pylori strain HPJP26 chromosome, complete genome
NC_017294.1 Candidatus Arthromitus sp. SFB-mouse-Yit, complete genome
NC_017358.1 Helicobacter pylori Cuz20, complete genome
NC_017279.1 Campylobacter jejuni subsp. jejuni IA3902, complete genome
NC_017284.1 Campylobacter jejuni subsp. jejuni IA3902 plasmid pVir, complete sequence
NZ_CP032913.1 Helicobacter pylori strain 5-A-EK1 chromosome, complete genome
NZ_CP032472.1 Helicobacter pylori strain 479-A2-EK4 chromosome, complete genome
NC_021218.3 Helicobacter pylori UM066, complete sequence
NZ_LR134507.1 Campylobacter jejuni strain NCTC12851 chromosome 1
NZ_CP044167.1 Campylobacter jejuni strain AR-0415 chromosome, complete genome
NZ_CP044168.1 Campylobacter jejuni strain AR-0415 plasmid pAR-0415, complete sequence
NZ_CP007606.1 Helicobacter pylori strain BM013B, complete genome
NC_008770.1 Campylobacter jejuni subsp. jejuni 81-176 plasmid pVir, complete sequence
NC_008787.1 Campylobacter jejuni subsp. jejuni 81-176, complete sequence
NC_008790.1 Campylobacter jejuni subsp. jejuni 81-176 plasmid pTet, complete sequence
NZ_CP034312.1 Helicobacter pylori strain HP42K plasmid pHP42-2, complete sequence
NZ_CP034313.1 Helicobacter pylori strain HP42K plasmid pHP42-1, complete sequence
NZ_CP034314.1 Helicobacter pylori strain HP42K chromosome, complete genome
NZ_CP010491.1 Campylobacter jejuni strain CJ677CC529, complete genome
NC_022656.1 Campylobacter coli 15-537360 plasmid pCC42yr, complete sequence
NC_022660.2 Campylobacter coli 15-537360, complete sequence
