NZ_CP016824.1 Streptomyces sampsonii strain KJ40 chromosome, complete genome
NC_015716.1 Zymomonas mobilis subsp. pomaceae ATCC 29192 plasmid pZYMOP02, complete sequence
NC_010531.1 Polynucleobacter necessarius STIR1, complete sequence
NZ_CP015876.1 Pseudomonas putida SJTE-1 chromosome, complete genome
NC_023036.1 Mycobacterium neoaurum VKM Ac-1815D, complete genome
NC_008009.1 Candidatus Koribacter versatilis Ellin345, complete genome
NC_005871.1 Photobacterium profundum SS9 plasmid pPBPR1, complete sequence
NC_006370.1 Photobacterium profundum SS9 chromosome 1, complete sequence
NC_006371.1 Photobacterium profundum SS9 chromosome 2, complete sequence
NC_013361.1 Escherichia coli O26:H11 str. 11368, complete genome
NC_013362.1 Escherichia coli O26:H11 str. 11368 plasmid pO26_2, complete sequence
NC_013363.1 Escherichia coli O26:H11 str. 11368 plasmid pO26_3, complete sequence
NC_013369.1 Escherichia coli O26:H11 str. 11368 plasmid pO26_1, complete sequence
NC_014543.1 Escherichia coli O26:H11 str. 11368 plasmid pO26_4, complete sequence
NC_014921.1 Mycoplasma fermentans M64, complete sequence
NC_017530.1 Pseudomonas putida BIRD-1, complete sequence
NC_012987.1 Methylorubrum extorquens AM1 plasmid p1METDI, complete sequence
NC_012988.1 Methylorubrum extorquens AM1, complete genome
NC_012989.1 Methylorubrum extorquens AM1 plasmid p2METDI, complete sequence
NC_020796.1 Edwardsiella piscicida C07-087, complete sequence
NC_011145.1 Anaeromyxobacter sp. K, complete genome
NC_010333.1 Caulobacter sp. K31 plasmid pCAUL02, complete sequence
NC_010335.1 Caulobacter sp. K31 plasmid pCAUL01, complete sequence
NC_010338.1 Caulobacter sp. K31, complete sequence
NC_016803.1 Desulfovibrio desulfuricans ND132, complete sequence
NC_008528.1 Oenococcus oeni PSU-1, complete genome
NC_015656.1 Candidatus Frankia datiscae, complete sequence
NC_015657.1 Candidatus Frankia datiscae plasmid pFSYMDG02, complete sequence
NC_015664.1 Candidatus Frankia datiscae plasmid pFSYMDG01, complete sequence
NC_017550.1 Cutibacterium acnes subsp. defendens ATCC 11828, complete sequence
NC_014483.2 Paenibacillus polymyxa E681, complete sequence
NZ_HG941718.1 Escherichia coli O25b:H4-ST131 strain EC958
NZ_HG941719.1 Escherichia coli O25b:H4-ST131 strain EC958 plasmid pEC958, complete sequence
NZ_HG941720.1 Escherichia coli O25b:H4-ST131 strain EC958 plasmid pEC958B, complete sequence
NC_017548.1 Pseudomonas aeruginosa M18, complete sequence
NC_018220.1 Pseudomonas putida DOT-T1E, complete sequence
NC_009921.1 Frankia sp. EAN1pec, complete genome
NC_015856.1 Collimonas fungivorans Ter331, complete sequence
NC_018720.1 Bifidobacterium asteroides PRL2011, complete sequence
NC_009445.1 Bradyrhizobium sp. ORS 278, complete genome
NC_009328.1 Geobacillus thermodenitrificans NG80-2, complete sequence
NC_009329.1 Geobacillus thermodenitrificans NG80-2 plasmid pLW1071, complete sequence
NC_021082.1 Mannheimia haemolytica M42548, complete sequence
NC_016147.2 Pseudoxanthomonas spadix BD-a59, complete sequence
NC_014483.1 Paenibacillus polymyxa E681, complete genome
NC_017504.1 Mycoplasma pneumoniae FH, complete genome
NZ_CP006659.2 Klebsiella pneumoniae strain ATCC BAA-2146 chromosome 1
NZ_CP006660.1 Klebsiella pneumoniae strain ATCC BAA-2146 plasmid pMYS, complete sequence
NZ_CP006661.1 Klebsiella pneumoniae strain ATCC BAA-2146 plasmid pNDM-US, complete sequence
NZ_CP006662.2 Klebsiella pneumoniae strain ATCC BAA-2146 plasmid pHg, complete sequence
NZ_CP006663.1 Klebsiella pneumoniae strain ATCC BAA-2146 plasmid pCuAs, complete sequence
NC_020301.1 Bartonella vinsonii subsp. berkhoffii str. Winnie, complete genome
NC_019678.1 Rivularia sp. PCC 7116, complete genome
NC_019679.1 Rivularia sp. PCC 7116 plasmid pRIV7116.01, complete sequence
NC_019686.1 Rivularia sp. PCC 7116 plasmid pRIV7116.02, complete sequence
NC_009726.1 Coxiella burnetii Dugway 5J108-111 plasmid pQpDG, complete sequence
NC_009727.1 Coxiella burnetii Dugway 5J108-111, complete sequence
NC_007520.2 Hydrogenovibrio crunogenus XCL-2, complete sequence
NC_020180.1 Klebsiella aerogenes EA1509E, complete genome
NC_020181.1 Klebsiella aerogenes EA1509E, complete genome
NC_020182.1 Klebsiella aerogenes EA1509E, complete genome
NC_021591.1 Serratia plymuthica 4Rx13, complete genome
NC_021594.1 Serratia plymuthica 4Rx13 plasmid p75, complete sequence
NC_021064.1 Cutibacterium avidum 44067, complete sequence
NZ_CP009863.1 Klebsiella pneumoniae subsp. pneumoniae strain KPNIH29, complete genome
NZ_CP009864.1 Klebsiella pneumoniae subsp. pneumoniae strain KPNIH29 plasmid pKPC-e4e, complete sequence
NZ_CP009865.1 Klebsiella pneumoniae subsp. pneumoniae strain KPNIH29 plasmid pKPN-80a, complete sequence
NZ_CP045015.1 Klebsiella pneumoniae subsp. pneumoniae strain BK13048 chromosome, complete genome
NZ_CP045016.1 Klebsiella pneumoniae subsp. pneumoniae strain BK13048 plasmid pBK13048-1, complete sequence
NZ_CP045017.1 Klebsiella pneumoniae subsp. pneumoniae strain BK13048 plasmid pBK13048-2, complete sequence
NZ_CP045018.1 Klebsiella pneumoniae subsp. pneumoniae strain BK13048 plasmid pBK13048-3, complete sequence
NZ_CP045019.1 Klebsiella pneumoniae subsp. pneumoniae strain BK13048 plasmid pBK13048-5, complete sequence
NZ_CP045020.1 Klebsiella pneumoniae subsp. pneumoniae strain BK13048 plasmid pBK13048-6, complete sequence
NZ_CP045021.1 Klebsiella pneumoniae subsp. pneumoniae strain BK13048 plasmid pBK13048-7, complete sequence
NZ_CP045022.1 Klebsiella pneumoniae subsp. pneumoniae strain BK13048 plasmid pBK13048-KPC14, complete sequence
NZ_CP029738.1 Klebsiella pneumoniae strain AR_0087 chromosome, complete genome
NZ_CP029739.1 Klebsiella pneumoniae strain AR_0087 plasmid unnamed1, complete sequence
NZ_CP029740.1 Klebsiella pneumoniae strain AR_0087 plasmid unnamed2, complete sequence
NZ_CP021844.1 Escherichia coli strain EC1515 chromosome, complete genome
NZ_CP021845.1 Escherichia coli strain EC1515 plasmid pEC1515-1, complete sequence
NZ_CP021846.1 Escherichia coli strain EC1515 plasmid pEC1515-2, complete sequence
NZ_CP021847.1 Escherichia coli strain EC1515 plasmid pEC1515-3, complete sequence
NZ_CP026876.1 Shigella boydii strain ATCC 35964 plasmid unnamed, complete sequence
NZ_CP026877.1 Shigella boydii strain ATCC 35964 chromosome, complete genome
NZ_CP028110.1 Escherichia coli O121 str. RM8352 chromosome, complete genome
NZ_CP028111.1 Escherichia coli O121 str. RM8352 plasmid pRM8352, complete sequence
NZ_CP003994.1 Klebsiella pneumoniae subsp. pneumoniae Kp13 plasmid pKP13b, complete sequence
NZ_CP003995.1 Klebsiella pneumoniae subsp. pneumoniae Kp13 plasmid pKP13c, complete sequence
NZ_CP003996.1 Klebsiella pneumoniae subsp. pneumoniae Kp13 plasmid pKP13a, complete sequence
NZ_CP003997.1 Klebsiella pneumoniae subsp. pneumoniae Kp13 plasmid pKP13d, complete sequence
NZ_CP003998.1 Klebsiella pneumoniae subsp. pneumoniae Kp13 plasmid pKP13e, complete sequence
NZ_CP003999.1 Klebsiella pneumoniae subsp. pneumoniae Kp13 chromosome, complete genome
NZ_CP004000.1 Klebsiella pneumoniae subsp. pneumoniae Kp13 plasmid pKP13f, complete sequence
NZ_CP038353.1 Escherichia coli O157:H7 strain F8797 chromosome, complete genome
NZ_CP038354.1 Escherichia coli O157:H7 strain F8797 plasmid pF8797-1, complete sequence
NZ_CP022661.1 Salmonella enterica subsp. enterica strain RM11065 plasmid pRM11065-1, complete sequence
NZ_CP022662.1 Salmonella enterica subsp. enterica strain RM11065 plasmid pRM11065-2, complete sequence
NZ_CP022663.1 Salmonella enterica subsp. enterica strain RM11065 chromosome, complete genome
NZ_CP012099.1 Bacillus thuringiensis strain HS18-1, complete genome
NZ_CP012100.1 Bacillus thuringiensis strain HS18-1 plasmid pHS18-1, complete sequence
NZ_CP012101.1 Bacillus thuringiensis strain HS18-1 plasmid pHS18-2, complete sequence
NZ_CP012102.1 Bacillus thuringiensis strain HS18-1 plasmid pHS18-3, complete sequence
NZ_CP012103.1 Bacillus thuringiensis strain HS18-1 plasmid pHS18-4, complete sequence
NZ_CP012104.1 Bacillus thuringiensis strain HS18-1 plasmid pHS18-5, complete sequence
NZ_CP012105.1 Bacillus thuringiensis strain HS18-1 plasmid pHS18-6, complete sequence
NZ_CP012106.1 Bacillus thuringiensis strain HS18-1 plasmid pHS18-7, complete sequence
NZ_CP012107.1 Bacillus thuringiensis strain HS18-1 plasmid pHS18-8, complete sequence
NZ_CP012108.1 Bacillus thuringiensis strain HS18-1 plasmid pHS18-9, complete sequence
NZ_CP016190.1 Mycobacteroides abscessus strain FLAC028 chromosome, complete genome
NZ_CP017440.1 Escherichia coli O157:H7 strain 3384 chromosome, complete genome
NZ_CP017441.1 Escherichia coli O157:H7 strain 3384 plasmid pO157, complete sequence
NZ_CP023155.1 Xanthomonas citri pv. malvacearum strain AR81009 chromosome, complete genome
NZ_CP023156.1 Xanthomonas citri pv. malvacearum strain AR81009 plasmid unnamed1, complete sequence
NZ_CP023157.1 Xanthomonas citri pv. malvacearum strain AR81009 plasmid unnamed2, complete sequence
NZ_CP023158.1 Xanthomonas citri pv. malvacearum strain AR81009 plasmid unnamed3, complete sequence
NZ_CP018858.1 Xanthomonas citri pv. citri strain LH201 chromosome, complete genome
NZ_CP018859.1 Xanthomonas citri pv. citri strain LH201 plasmid pLH201.1, complete sequence
NZ_CP018860.1 Xanthomonas citri pv. citri strain LH201 plasmid pLH201.2, complete sequence
NZ_CP017310.1 Xanthomonas campestris pv. campestris str. CN12 chromosome, complete genome
NZ_CP049198.1 Escherichia coli strain E686 chromosome, complete genome
NZ_CP021179.1 Escherichia coli strain 81009 chromosome, complete genome
NZ_CP021180.1 Escherichia coli strain 81009 plasmid pEC-81009, complete sequence
NZ_CP011153.1 Bacillus cereus strain CMCC P0011, complete genome
NZ_CP011154.1 Bacillus cereus strain CMCC P0011 plasmid pRML05, complete sequence
NZ_CP031814.1 Klebsiella pneumoniae strain KSB1_7F-sc-2280268 chromosome, complete genome
NZ_CP031815.1 Klebsiella pneumoniae strain KSB1_7F-sc-2280268 plasmid unnamed1, complete sequence
NZ_CP031816.1 Klebsiella pneumoniae strain KSB1_7F-sc-2280268 plasmid unnamed2, complete sequence
NZ_CP009329.1 Bacillus anthracis strain K3 plasmid 2, complete sequence
NZ_CP009330.1 Bacillus anthracis strain K3 plasmid 1, complete sequence
NZ_CP009331.1 Bacillus anthracis strain K3 chromosome, complete genome
NZ_CP038342.1 Escherichia coli O157:H7 strain H2495 chromosome, complete genome
NZ_CP038343.1 Escherichia coli O157:H7 strain H2495 plasmid pH2495-1, complete sequence
NZ_CP034406.1 Klebsiella pneumoniae strain NH34 plasmid pNH34.1, complete sequence
NZ_CP034407.1 Klebsiella pneumoniae strain NH34 plasmid pNH34.2, complete sequence
NZ_CP034408.1 Klebsiella pneumoniae strain NH34 chromosome, complete genome
NZ_CP042512.1 Serratia marcescens strain E28 chromosome, complete genome
NZ_CP042513.1 Serratia marcescens strain E28 plasmid pE28_001, complete sequence
NZ_CP042514.1 Serratia marcescens strain E28 plasmid pE28_002, complete sequence
NZ_CP042515.1 Serratia marcescens strain E28 plasmid pE28_003
NZ_CP042516.1 Serratia marcescens strain E28 plasmid pE28_004, complete sequence
NZ_CP027793.1 Rhodococcus hoagii strain DSSKP-R-001 chromosome, complete genome
NZ_CP027794.1 Rhodococcus hoagii strain DSSKP-R-001 plasmid plas1, complete sequence
NZ_CP027795.1 Rhodococcus hoagii strain DSSKP-R-001 plasmid plas2, complete sequence
NC_023037.1 Paenibacillus polymyxa CR1, complete genome
NZ_CP027129.1 Escherichia coli strain AR_0372 plasmid unnamed5
NZ_CP027130.1 Escherichia coli strain AR_0372 plasmid unnamed1, complete sequence
NZ_CP027131.1 Escherichia coli strain AR_0372 plasmid unnamed3, complete sequence
NZ_CP027132.1 Escherichia coli strain AR_0372 plasmid unnamed2, complete sequence
NZ_CP027133.1 Escherichia coli strain AR_0372 plasmid unnamed4
NZ_CP027134.1 Escherichia coli strain AR_0372 chromosome, complete genome
NZ_CP012992.1 Klebsiella pneumoniae strain KpN06, complete genome
NZ_CP012993.1 Klebsiella pneumoniae strain KpN06 plasmid unnamed 1, complete sequence
NZ_CP012994.1 Klebsiella pneumoniae strain KpN06 plasmid unnamed 2, complete sequence
NZ_CP012995.1 Klebsiella pneumoniae strain KpN06 plasmid unnamed 3, complete sequence
NZ_CP012724.1 Bacillus anthracis strain PR07, complete genome
NZ_CP045537.1 Bacillaceae bacterium C05 chromosome, complete genome
NZ_CP018307.1 Klebsiella variicola strain X39 chromosome, complete genome
NZ_CP023978.1 Klebsiella variicola strain X39 plasmid pX39-1, complete sequence
NZ_CP023979.1 Klebsiella variicola strain X39 plasmid pX39-2, complete sequence
NZ_CP023980.1 Klebsiella variicola strain X39 plasmid pX39-3, complete sequence
NZ_CP023981.1 Klebsiella variicola strain X39 plasmid pX39-4, complete sequence
NZ_CP023982.1 Klebsiella variicola strain X39 plasmid pX39-5, complete sequence
NZ_CP023983.1 Klebsiella variicola strain X39 plasmid pX39-6, complete sequence
NZ_CP023984.1 Klebsiella variicola strain X39 plasmid pX39-7, complete sequence
NZ_CP023985.1 Klebsiella variicola strain X39 plasmid pX39-8, complete sequence
NZ_CP023986.1 Klebsiella variicola strain X39 plasmid pX39-9, complete sequence
NZ_CP028192.1 Escherichia coli strain CFSAN018748 chromosome, complete genome
NZ_CP028193.1 Escherichia coli strain CFSAN018748 plasmid pGMI14-004_2, complete sequence
NZ_CP028194.1 Escherichia coli strain CFSAN018748 plasmid pGMI14-004_3, complete sequence
NZ_CP028195.1 Escherichia coli strain CFSAN018748 plasmid pGMI14-004_1, complete sequence
NZ_CP041639.1 Klebsiella pneumoniae strain PIMB15ND2KP27 chromosome, complete genome
NZ_CP041640.1 Klebsiella pneumoniae strain PIMB15ND2KP27 plasmid pKP27-MPH, complete sequence
NZ_CP041641.1 Klebsiella pneumoniae strain PIMB15ND2KP27 plasmid pKP27-MCR1, complete sequence
NZ_CP041642.1 Klebsiella pneumoniae strain PIMB15ND2KP27 plasmid pKP27-NDM4, complete sequence
NZ_CP025703.1 Escherichia coli strain BH100N substr. MG2017 chromosome, complete genome
NZ_CP044315.1 Escherichia coli strain SJ7 chromosome, complete genome
NZ_CP051657.1 Escherichia coli strain SJ7 plasmid pSJ7-1
NZ_CP051658.1 Escherichia coli strain SJ7 plasmid pSJ7-2
NZ_CP028562.2 Aeromonas hydrophila subsp. hydrophila strain WCHAH045096 plasmid p1_045096, complete sequence
NZ_CP028563.1 Aeromonas hydrophila subsp. hydrophila strain WCHAH045096 plasmid p2_045096, complete sequence
NZ_CP028564.1 Aeromonas hydrophila subsp. hydrophila strain WCHAH045096 plasmid p3_045096, complete sequence
NZ_CP028565.1 Aeromonas hydrophila subsp. hydrophila strain WCHAH045096 plasmid pGES5_045096, complete sequence
NZ_CP028566.1 Aeromonas hydrophila subsp. hydrophila strain WCHAH045096 plasmid pKPC2_045096, complete sequence
NZ_CP028567.2 Aeromonas hydrophila subsp. hydrophila strain WCHAH045096 plasmid pMCR5_045096, complete sequence
NZ_CP028568.2 Aeromonas hydrophila subsp. hydrophila strain WCHAH045096 chromosome, complete genome
NZ_CP045863.1 Escherichia coli O157:H7 strain ATCC 43890 chromosome, complete genome
NZ_CP045864.1 Escherichia coli O157:H7 strain ATCC 43890 plasmid p1CFSAN076619, complete sequence
NZ_CP045865.1 Escherichia coli O157:H7 strain ATCC 43890 plasmid p2CFSAN076619, complete sequence
NZ_CP018924.1 Serratia marcescens strain UMH2 chromosome, complete genome
NZ_CP017317.1 Xanthomonas campestris pv. campestris str. CN14 chromosome, complete genome
NZ_CP017318.1 Xanthomonas campestris pv. campestris str. CN14 plasmid unnamed, complete sequence
NZ_CP018243.1 Escherichia coli strain 350 chromosome, complete genome
NZ_CP018244.1 Escherichia coli strain 350 plasmid pO157, complete sequence
NZ_CP027548.1 Escherichia coli strain 2014C-3061 chromosome, complete genome
NZ_CP027549.1 Escherichia coli strain 2014C-3061 plasmid unnamed, complete sequence
NZ_AP019684.1 Xanthomonas campestris pv. campestris strain MAFF302021
NZ_CP024851.1 Escherichia coli strain AR_0006, complete genome
NZ_CP024852.1 Escherichia coli strain AR_0006 plasmid tig00000164, complete sequence
NZ_CP024853.1 Escherichia coli strain AR_0006 plasmid tig00000176, complete sequence
NZ_CP024854.1 Escherichia coli strain AR_0006 plasmid tig00000311, complete sequence
NZ_CP047688.1 Serratia marcescens strain 1140- chromosome, complete genome
NZ_CP047689.1 Serratia marcescens strain 1140- plasmid p1140-KPC, complete sequence
NZ_CP047690.1 Serratia marcescens strain 1140- plasmid pXQ, complete sequence
NZ_CP029568.1 Salmonella enterica strain DA34837 chromosome, complete genome
NZ_CP023722.1 Klebsiella pneumoniae strain TVGHCRE225 chromosome, complete genome
NZ_CP023723.1 Klebsiella pneumoniae strain TVGHCRE225 plasmid unnamed1, complete sequence
NZ_CP023724.1 Klebsiella pneumoniae strain TVGHCRE225 plasmid unnamed2, complete sequence
NZ_CP023725.1 Klebsiella pneumoniae strain TVGHCRE225 plasmid unnamed3, complete sequence
NZ_LR130562.1 Escherichia coli strain MS14384 isolate MS14384 chromosome 1
NZ_LR130563.1 Escherichia coli strain MS14384 isolate MS14384 plasmid 2
NZ_CP041648.1 Klebsiella pneumoniae strain NKU_KlebA1 plasmid pKlebA1, complete sequence
NZ_CP041649.1 Klebsiella pneumoniae strain NKU_KlebA1 chromosome, complete genome
NZ_AP017617.1 Escherichia coli strain MRY15-117
NZ_AP017618.1 Escherichia coli strain MRY15-117 plasmid pMRY15-117_1, complete sequence
NZ_AP017619.1 Escherichia coli strain MRY15-117 plasmid pMRY15-117_2, complete sequence
NZ_CP015392.1 Klebsiella pneumoniae strain CR14 chromosome, complete genome
NZ_CP015393.1 Klebsiella pneumoniae strain CR14 plasmid pCR14_1, complete sequence
NZ_CP015394.1 Klebsiella pneumoniae strain CR14 plasmid pCR14_2, complete sequence
NZ_CP015395.1 Klebsiella pneumoniae strain CR14 plasmid pCR14_3, complete sequence
NZ_CP015396.1 Klebsiella pneumoniae strain CR14 plasmid pCR14_4, complete sequence
NZ_CP015397.1 Klebsiella pneumoniae strain CR14 plasmid pCR14_5, complete sequence
NZ_CP025143.1 Klebsiella pneumoniae strain NR5632 chromosome, complete genome
NZ_CP025144.1 Klebsiella pneumoniae strain NR5632 plasmid NR5632_p1, complete sequence
NZ_CP025145.1 Klebsiella pneumoniae strain NR5632 plasmid NR5632_p2, complete sequence
NZ_CP020645.1 Bordetella bronchiseptica strain I943 chromosome, complete genome
NZ_CP027392.1 Escherichia coli O104:H4 strain FDAARGOS_349 plasmid unnamed2, complete sequence
NZ_CP027393.1 Escherichia coli O104:H4 strain FDAARGOS_349 plasmid unnamed4
NZ_CP027394.1 Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome
NZ_CP027395.1 Escherichia coli O104:H4 strain FDAARGOS_349 plasmid unnamed1
NZ_CP027396.1 Escherichia coli O104:H4 strain FDAARGOS_349 plasmid unnamed3
NZ_CP034045.1 Klebsiella pneumoniae strain KP_NORM_BLD_2014_104014 chromosome, complete genome
